Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.5619200167250045
"(40, 2)",4000,0.5704788824357399
"(10, 10)",4000,0.4712574027852303
"(3, 10, 2)",4000,0.5533603316803235
"(10,)",4000,0.45556154809386284
"(20,)",4000,0.4255680192089343
"(30,)",4000,0.5744498342964774
"(40,)",4000,0.44876904660521955
"(50,)",4000,0.6430538599476401
"(8,)",4000,0.42074742190278897
"(8, 8)",4000,0.45961981607062186
"(8, 5, 2)",4000,0.44280095626258
"(5, 5)",4000,0.46132270770149275
"(10, 10)",4000,0.4712574027852303
"(20, 5)",4000,0.6374753745265176
"(5, 20)",4000,0.7114517245082387
"(15, 6)",4000,0.5855446975284384
"(6, 6)",4000,0.46897626614059384
"(6, 6, 2)",4000,0.49867328430639624
"(5,)",4000,0.5009633927738258
"(5, 10, 2)",4000,0.45359708491032585
"(10, 10)",4000,0.4712574027852303
"(5, 10)",4000,0.4717087968641489
"(2,)",4000,0.45925668925712376
"(2, 2)",4000,0.4965524685492045
"(2, 2, 2)",4000,0.5772528776657984
"(2, 2, 2, 2)",4000,0.510697308807347
